image_before,image_target,image_after,mask_target
,F2/F2_008/images/F2_008_image_0022.npy,F2/F2_009/images/F2_009_image_0022.npy,F2/F2_008/masks/F2_008_masks_0022.npy
,F2/F2_008/images/F2_008_image_0023.npy,F2/F2_009/images/F2_009_image_0023.npy,F2/F2_008/masks/F2_008_masks_0023.npy
,F2/F2_008/images/F2_008_image_0024.npy,F2/F2_009/images/F2_009_image_0024.npy,F2/F2_008/masks/F2_008_masks_0024.npy
,F2/F2_008/images/F2_008_image_0025.npy,F2/F2_009/images/F2_009_image_0025.npy,F2/F2_008/masks/F2_008_masks_0025.npy
,F2/F2_008/images/F2_008_image_0026.npy,F2/F2_009/images/F2_009_image_0026.npy,F2/F2_008/masks/F2_008_masks_0026.npy
,F2/F2_008/images/F2_008_image_0027.npy,F2/F2_009/images/F2_009_image_0027.npy,F2/F2_008/masks/F2_008_masks_0027.npy
F2/F2_008/images/F2_008_image_0001.npy,F2/F2_009/images/F2_009_image_0001.npy,F2/F2_010/images/F2_010_image_0001.npy,F2/F2_009/masks/F2_009_masks_0001.npy
F2/F2_008/images/F2_008_image_0002.npy,F2/F2_009/images/F2_009_image_0002.npy,F2/F2_010/images/F2_010_image_0002.npy,F2/F2_009/masks/F2_009_masks_0002.npy
F2/F2_008/images/F2_008_image_0003.npy,F2/F2_009/images/F2_009_image_0003.npy,F2/F2_010/images/F2_010_image_0003.npy,F2/F2_009/masks/F2_009_masks_0003.npy
F2/F2_008/images/F2_008_image_0004.npy,F2/F2_009/images/F2_009_image_0004.npy,F2/F2_010/images/F2_010_image_0004.npy,F2/F2_009/masks/F2_009_masks_0004.npy
F2/F2_008/images/F2_008_image_0005.npy,F2/F2_009/images/F2_009_image_0005.npy,F2/F2_010/images/F2_010_image_0005.npy,F2/F2_009/masks/F2_009_masks_0005.npy
F2/F2_008/images/F2_008_image_0006.npy,F2/F2_009/images/F2_009_image_0006.npy,F2/F2_010/images/F2_010_image_0006.npy,F2/F2_009/masks/F2_009_masks_0006.npy
F2/F2_008/images/F2_008_image_0007.npy,F2/F2_009/images/F2_009_image_0007.npy,F2/F2_010/images/F2_010_image_0007.npy,F2/F2_009/masks/F2_009_masks_0007.npy
F2/F2_008/images/F2_008_image_0008.npy,F2/F2_009/images/F2_009_image_0008.npy,F2/F2_010/images/F2_010_image_0008.npy,F2/F2_009/masks/F2_009_masks_0008.npy
F2/F2_008/images/F2_008_image_0009.npy,F2/F2_009/images/F2_009_image_0009.npy,F2/F2_010/images/F2_010_image_0009.npy,F2/F2_009/masks/F2_009_masks_0009.npy
F2/F2_008/images/F2_008_image_0010.npy,F2/F2_009/images/F2_009_image_0010.npy,F2/F2_010/images/F2_010_image_0010.npy,F2/F2_009/masks/F2_009_masks_0010.npy
F2/F2_008/images/F2_008_image_0011.npy,F2/F2_009/images/F2_009_image_0011.npy,F2/F2_010/images/F2_010_image_0011.npy,F2/F2_009/masks/F2_009_masks_0011.npy
F2/F2_008/images/F2_008_image_0012.npy,F2/F2_009/images/F2_009_image_0012.npy,F2/F2_010/images/F2_010_image_0012.npy,F2/F2_009/masks/F2_009_masks_0012.npy
F2/F2_008/images/F2_008_image_0013.npy,F2/F2_009/images/F2_009_image_0013.npy,F2/F2_010/images/F2_010_image_0013.npy,F2/F2_009/masks/F2_009_masks_0013.npy
F2/F2_008/images/F2_008_image_0014.npy,F2/F2_009/images/F2_009_image_0014.npy,F2/F2_010/images/F2_010_image_0014.npy,F2/F2_009/masks/F2_009_masks_0014.npy
F2/F2_008/images/F2_008_image_0015.npy,F2/F2_009/images/F2_009_image_0015.npy,F2/F2_010/images/F2_010_image_0015.npy,F2/F2_009/masks/F2_009_masks_0015.npy
F2/F2_008/images/F2_008_image_0016.npy,F2/F2_009/images/F2_009_image_0016.npy,F2/F2_010/images/F2_010_image_0016.npy,F2/F2_009/masks/F2_009_masks_0016.npy
F2/F2_008/images/F2_008_image_0017.npy,F2/F2_009/images/F2_009_image_0017.npy,F2/F2_010/images/F2_010_image_0017.npy,F2/F2_009/masks/F2_009_masks_0017.npy
F2/F2_008/images/F2_008_image_0018.npy,F2/F2_009/images/F2_009_image_0018.npy,F2/F2_010/images/F2_010_image_0018.npy,F2/F2_009/masks/F2_009_masks_0018.npy
F2/F2_008/images/F2_008_image_0019.npy,F2/F2_009/images/F2_009_image_0019.npy,F2/F2_010/images/F2_010_image_0019.npy,F2/F2_009/masks/F2_009_masks_0019.npy
F2/F2_008/images/F2_008_image_0020.npy,F2/F2_009/images/F2_009_image_0020.npy,F2/F2_010/images/F2_010_image_0020.npy,F2/F2_009/masks/F2_009_masks_0020.npy
F2/F2_008/images/F2_008_image_0021.npy,F2/F2_009/images/F2_009_image_0021.npy,F2/F2_010/images/F2_010_image_0021.npy,F2/F2_009/masks/F2_009_masks_0021.npy
F2/F2_008/images/F2_008_image_0022.npy,F2/F2_009/images/F2_009_image_0022.npy,F2/F2_010/images/F2_010_image_0022.npy,F2/F2_009/masks/F2_009_masks_0022.npy
F2/F2_008/images/F2_008_image_0023.npy,F2/F2_009/images/F2_009_image_0023.npy,F2/F2_010/images/F2_010_image_0023.npy,F2/F2_009/masks/F2_009_masks_0023.npy
F2/F2_008/images/F2_008_image_0024.npy,F2/F2_009/images/F2_009_image_0024.npy,F2/F2_010/images/F2_010_image_0024.npy,F2/F2_009/masks/F2_009_masks_0024.npy
F2/F2_008/images/F2_008_image_0025.npy,F2/F2_009/images/F2_009_image_0025.npy,F2/F2_010/images/F2_010_image_0025.npy,F2/F2_009/masks/F2_009_masks_0025.npy
F2/F2_008/images/F2_008_image_0026.npy,F2/F2_009/images/F2_009_image_0026.npy,F2/F2_010/images/F2_010_image_0026.npy,F2/F2_009/masks/F2_009_masks_0026.npy
F2/F2_008/images/F2_008_image_0027.npy,F2/F2_009/images/F2_009_image_0027.npy,F2/F2_010/images/F2_010_image_0027.npy,F2/F2_009/masks/F2_009_masks_0027.npy
F2/F2_009/images/F2_009_image_0001.npy,F2/F2_010/images/F2_010_image_0001.npy,F2/F2_011/images/F2_011_image_0001.npy,F2/F2_010/masks/F2_010_masks_0001.npy
F2/F2_009/images/F2_009_image_0002.npy,F2/F2_010/images/F2_010_image_0002.npy,F2/F2_011/images/F2_011_image_0002.npy,F2/F2_010/masks/F2_010_masks_0002.npy
F2/F2_009/images/F2_009_image_0003.npy,F2/F2_010/images/F2_010_image_0003.npy,F2/F2_011/images/F2_011_image_0003.npy,F2/F2_010/masks/F2_010_masks_0003.npy
F2/F2_009/images/F2_009_image_0004.npy,F2/F2_010/images/F2_010_image_0004.npy,F2/F2_011/images/F2_011_image_0004.npy,F2/F2_010/masks/F2_010_masks_0004.npy
F2/F2_009/images/F2_009_image_0005.npy,F2/F2_010/images/F2_010_image_0005.npy,F2/F2_011/images/F2_011_image_0005.npy,F2/F2_010/masks/F2_010_masks_0005.npy
F2/F2_009/images/F2_009_image_0006.npy,F2/F2_010/images/F2_010_image_0006.npy,F2/F2_011/images/F2_011_image_0006.npy,F2/F2_010/masks/F2_010_masks_0006.npy
F2/F2_009/images/F2_009_image_0007.npy,F2/F2_010/images/F2_010_image_0007.npy,F2/F2_011/images/F2_011_image_0007.npy,F2/F2_010/masks/F2_010_masks_0007.npy
F2/F2_009/images/F2_009_image_0008.npy,F2/F2_010/images/F2_010_image_0008.npy,F2/F2_011/images/F2_011_image_0008.npy,F2/F2_010/masks/F2_010_masks_0008.npy
F2/F2_009/images/F2_009_image_0009.npy,F2/F2_010/images/F2_010_image_0009.npy,F2/F2_011/images/F2_011_image_0009.npy,F2/F2_010/masks/F2_010_masks_0009.npy
F2/F2_009/images/F2_009_image_0010.npy,F2/F2_010/images/F2_010_image_0010.npy,F2/F2_011/images/F2_011_image_0010.npy,F2/F2_010/masks/F2_010_masks_0010.npy
F2/F2_009/images/F2_009_image_0011.npy,F2/F2_010/images/F2_010_image_0011.npy,F2/F2_011/images/F2_011_image_0011.npy,F2/F2_010/masks/F2_010_masks_0011.npy
F2/F2_009/images/F2_009_image_0012.npy,F2/F2_010/images/F2_010_image_0012.npy,F2/F2_011/images/F2_011_image_0012.npy,F2/F2_010/masks/F2_010_masks_0012.npy
F2/F2_009/images/F2_009_image_0013.npy,F2/F2_010/images/F2_010_image_0013.npy,F2/F2_011/images/F2_011_image_0013.npy,F2/F2_010/masks/F2_010_masks_0013.npy
F2/F2_009/images/F2_009_image_0014.npy,F2/F2_010/images/F2_010_image_0014.npy,F2/F2_011/images/F2_011_image_0014.npy,F2/F2_010/masks/F2_010_masks_0014.npy
F2/F2_009/images/F2_009_image_0015.npy,F2/F2_010/images/F2_010_image_0015.npy,F2/F2_011/images/F2_011_image_0015.npy,F2/F2_010/masks/F2_010_masks_0015.npy
F2/F2_009/images/F2_009_image_0016.npy,F2/F2_010/images/F2_010_image_0016.npy,F2/F2_011/images/F2_011_image_0016.npy,F2/F2_010/masks/F2_010_masks_0016.npy
F2/F2_009/images/F2_009_image_0017.npy,F2/F2_010/images/F2_010_image_0017.npy,F2/F2_011/images/F2_011_image_0017.npy,F2/F2_010/masks/F2_010_masks_0017.npy
F2/F2_009/images/F2_009_image_0018.npy,F2/F2_010/images/F2_010_image_0018.npy,F2/F2_011/images/F2_011_image_0018.npy,F2/F2_010/masks/F2_010_masks_0018.npy
F2/F2_009/images/F2_009_image_0019.npy,F2/F2_010/images/F2_010_image_0019.npy,F2/F2_011/images/F2_011_image_0019.npy,F2/F2_010/masks/F2_010_masks_0019.npy
F2/F2_009/images/F2_009_image_0020.npy,F2/F2_010/images/F2_010_image_0020.npy,F2/F2_011/images/F2_011_image_0020.npy,F2/F2_010/masks/F2_010_masks_0020.npy
F2/F2_009/images/F2_009_image_0021.npy,F2/F2_010/images/F2_010_image_0021.npy,F2/F2_011/images/F2_011_image_0021.npy,F2/F2_010/masks/F2_010_masks_0021.npy
F2/F2_009/images/F2_009_image_0022.npy,F2/F2_010/images/F2_010_image_0022.npy,F2/F2_011/images/F2_011_image_0022.npy,F2/F2_010/masks/F2_010_masks_0022.npy
F2/F2_009/images/F2_009_image_0023.npy,F2/F2_010/images/F2_010_image_0023.npy,F2/F2_011/images/F2_011_image_0023.npy,F2/F2_010/masks/F2_010_masks_0023.npy
F2/F2_009/images/F2_009_image_0024.npy,F2/F2_010/images/F2_010_image_0024.npy,F2/F2_011/images/F2_011_image_0024.npy,F2/F2_010/masks/F2_010_masks_0024.npy
F2/F2_009/images/F2_009_image_0025.npy,F2/F2_010/images/F2_010_image_0025.npy,F2/F2_011/images/F2_011_image_0025.npy,F2/F2_010/masks/F2_010_masks_0025.npy
F2/F2_009/images/F2_009_image_0026.npy,F2/F2_010/images/F2_010_image_0026.npy,F2/F2_011/images/F2_011_image_0026.npy,F2/F2_010/masks/F2_010_masks_0026.npy
F2/F2_009/images/F2_009_image_0027.npy,F2/F2_010/images/F2_010_image_0027.npy,F2/F2_011/images/F2_011_image_0027.npy,F2/F2_010/masks/F2_010_masks_0027.npy
F2/F2_010/images/F2_010_image_0001.npy,F2/F2_011/images/F2_011_image_0001.npy,F2/F2_012/images/F2_012_image_0001.npy,F2/F2_011/masks/F2_011_masks_0001.npy
F2/F2_010/images/F2_010_image_0002.npy,F2/F2_011/images/F2_011_image_0002.npy,F2/F2_012/images/F2_012_image_0002.npy,F2/F2_011/masks/F2_011_masks_0002.npy
F2/F2_010/images/F2_010_image_0003.npy,F2/F2_011/images/F2_011_image_0003.npy,F2/F2_012/images/F2_012_image_0003.npy,F2/F2_011/masks/F2_011_masks_0003.npy
F2/F2_010/images/F2_010_image_0004.npy,F2/F2_011/images/F2_011_image_0004.npy,F2/F2_012/images/F2_012_image_0004.npy,F2/F2_011/masks/F2_011_masks_0004.npy
F2/F2_010/images/F2_010_image_0005.npy,F2/F2_011/images/F2_011_image_0005.npy,F2/F2_012/images/F2_012_image_0005.npy,F2/F2_011/masks/F2_011_masks_0005.npy
F2/F2_010/images/F2_010_image_0006.npy,F2/F2_011/images/F2_011_image_0006.npy,F2/F2_012/images/F2_012_image_0006.npy,F2/F2_011/masks/F2_011_masks_0006.npy
F2/F2_010/images/F2_010_image_0007.npy,F2/F2_011/images/F2_011_image_0007.npy,F2/F2_012/images/F2_012_image_0007.npy,F2/F2_011/masks/F2_011_masks_0007.npy
F2/F2_010/images/F2_010_image_0008.npy,F2/F2_011/images/F2_011_image_0008.npy,F2/F2_012/images/F2_012_image_0008.npy,F2/F2_011/masks/F2_011_masks_0008.npy
F2/F2_010/images/F2_010_image_0009.npy,F2/F2_011/images/F2_011_image_0009.npy,F2/F2_012/images/F2_012_image_0009.npy,F2/F2_011/masks/F2_011_masks_0009.npy
F2/F2_010/images/F2_010_image_0010.npy,F2/F2_011/images/F2_011_image_0010.npy,F2/F2_012/images/F2_012_image_0010.npy,F2/F2_011/masks/F2_011_masks_0010.npy
F2/F2_010/images/F2_010_image_0011.npy,F2/F2_011/images/F2_011_image_0011.npy,F2/F2_012/images/F2_012_image_0011.npy,F2/F2_011/masks/F2_011_masks_0011.npy
F2/F2_010/images/F2_010_image_0012.npy,F2/F2_011/images/F2_011_image_0012.npy,F2/F2_012/images/F2_012_image_0012.npy,F2/F2_011/masks/F2_011_masks_0012.npy
F2/F2_010/images/F2_010_image_0013.npy,F2/F2_011/images/F2_011_image_0013.npy,F2/F2_012/images/F2_012_image_0013.npy,F2/F2_011/masks/F2_011_masks_0013.npy
F2/F2_010/images/F2_010_image_0014.npy,F2/F2_011/images/F2_011_image_0014.npy,F2/F2_012/images/F2_012_image_0014.npy,F2/F2_011/masks/F2_011_masks_0014.npy
F2/F2_010/images/F2_010_image_0015.npy,F2/F2_011/images/F2_011_image_0015.npy,F2/F2_012/images/F2_012_image_0015.npy,F2/F2_011/masks/F2_011_masks_0015.npy
F2/F2_010/images/F2_010_image_0016.npy,F2/F2_011/images/F2_011_image_0016.npy,F2/F2_012/images/F2_012_image_0016.npy,F2/F2_011/masks/F2_011_masks_0016.npy
F2/F2_010/images/F2_010_image_0017.npy,F2/F2_011/images/F2_011_image_0017.npy,F2/F2_012/images/F2_012_image_0017.npy,F2/F2_011/masks/F2_011_masks_0017.npy
F2/F2_010/images/F2_010_image_0018.npy,F2/F2_011/images/F2_011_image_0018.npy,F2/F2_012/images/F2_012_image_0018.npy,F2/F2_011/masks/F2_011_masks_0018.npy
F2/F2_010/images/F2_010_image_0019.npy,F2/F2_011/images/F2_011_image_0019.npy,F2/F2_012/images/F2_012_image_0019.npy,F2/F2_011/masks/F2_011_masks_0019.npy
F2/F2_010/images/F2_010_image_0020.npy,F2/F2_011/images/F2_011_image_0020.npy,F2/F2_012/images/F2_012_image_0020.npy,F2/F2_011/masks/F2_011_masks_0020.npy
F2/F2_010/images/F2_010_image_0021.npy,F2/F2_011/images/F2_011_image_0021.npy,F2/F2_012/images/F2_012_image_0021.npy,F2/F2_011/masks/F2_011_masks_0021.npy
F2/F2_010/images/F2_010_image_0022.npy,F2/F2_011/images/F2_011_image_0022.npy,F2/F2_012/images/F2_012_image_0022.npy,F2/F2_011/masks/F2_011_masks_0022.npy
F2/F2_010/images/F2_010_image_0023.npy,F2/F2_011/images/F2_011_image_0023.npy,F2/F2_012/images/F2_012_image_0023.npy,F2/F2_011/masks/F2_011_masks_0023.npy
F2/F2_010/images/F2_010_image_0024.npy,F2/F2_011/images/F2_011_image_0024.npy,F2/F2_012/images/F2_012_image_0024.npy,F2/F2_011/masks/F2_011_masks_0024.npy
F2/F2_010/images/F2_010_image_0025.npy,F2/F2_011/images/F2_011_image_0025.npy,F2/F2_012/images/F2_012_image_0025.npy,F2/F2_011/masks/F2_011_masks_0025.npy
F2/F2_010/images/F2_010_image_0026.npy,F2/F2_011/images/F2_011_image_0026.npy,F2/F2_012/images/F2_012_image_0026.npy,F2/F2_011/masks/F2_011_masks_0026.npy
F2/F2_010/images/F2_010_image_0027.npy,F2/F2_011/images/F2_011_image_0027.npy,F2/F2_012/images/F2_012_image_0027.npy,F2/F2_011/masks/F2_011_masks_0027.npy
F2/F2_011/images/F2_011_image_0001.npy,F2/F2_012/images/F2_012_image_0001.npy,F2/F2_013/images/F2_013_image_0001.npy,F2/F2_012/masks/F2_012_masks_0001.npy
F2/F2_011/images/F2_011_image_0002.npy,F2/F2_012/images/F2_012_image_0002.npy,F2/F2_013/images/F2_013_image_0002.npy,F2/F2_012/masks/F2_012_masks_0002.npy
F2/F2_011/images/F2_011_image_0003.npy,F2/F2_012/images/F2_012_image_0003.npy,F2/F2_013/images/F2_013_image_0003.npy,F2/F2_012/masks/F2_012_masks_0003.npy
F2/F2_011/images/F2_011_image_0004.npy,F2/F2_012/images/F2_012_image_0004.npy,F2/F2_013/images/F2_013_image_0004.npy,F2/F2_012/masks/F2_012_masks_0004.npy
F2/F2_011/images/F2_011_image_0005.npy,F2/F2_012/images/F2_012_image_0005.npy,F2/F2_013/images/F2_013_image_0005.npy,F2/F2_012/masks/F2_012_masks_0005.npy
F2/F2_011/images/F2_011_image_0006.npy,F2/F2_012/images/F2_012_image_0006.npy,F2/F2_013/images/F2_013_image_0006.npy,F2/F2_012/masks/F2_012_masks_0006.npy
F2/F2_011/images/F2_011_image_0007.npy,F2/F2_012/images/F2_012_image_0007.npy,F2/F2_013/images/F2_013_image_0007.npy,F2/F2_012/masks/F2_012_masks_0007.npy
F2/F2_011/images/F2_011_image_0008.npy,F2/F2_012/images/F2_012_image_0008.npy,F2/F2_013/images/F2_013_image_0008.npy,F2/F2_012/masks/F2_012_masks_0008.npy
F2/F2_011/images/F2_011_image_0009.npy,F2/F2_012/images/F2_012_image_0009.npy,F2/F2_013/images/F2_013_image_0009.npy,F2/F2_012/masks/F2_012_masks_0009.npy
F2/F2_011/images/F2_011_image_0010.npy,F2/F2_012/images/F2_012_image_0010.npy,F2/F2_013/images/F2_013_image_0010.npy,F2/F2_012/masks/F2_012_masks_0010.npy
F2/F2_011/images/F2_011_image_0011.npy,F2/F2_012/images/F2_012_image_0011.npy,F2/F2_013/images/F2_013_image_0011.npy,F2/F2_012/masks/F2_012_masks_0011.npy
F2/F2_011/images/F2_011_image_0012.npy,F2/F2_012/images/F2_012_image_0012.npy,F2/F2_013/images/F2_013_image_0012.npy,F2/F2_012/masks/F2_012_masks_0012.npy
F2/F2_011/images/F2_011_image_0013.npy,F2/F2_012/images/F2_012_image_0013.npy,F2/F2_013/images/F2_013_image_0013.npy,F2/F2_012/masks/F2_012_masks_0013.npy
F2/F2_011/images/F2_011_image_0014.npy,F2/F2_012/images/F2_012_image_0014.npy,F2/F2_013/images/F2_013_image_0014.npy,F2/F2_012/masks/F2_012_masks_0014.npy
F2/F2_011/images/F2_011_image_0015.npy,F2/F2_012/images/F2_012_image_0015.npy,F2/F2_013/images/F2_013_image_0015.npy,F2/F2_012/masks/F2_012_masks_0015.npy
F2/F2_011/images/F2_011_image_0016.npy,F2/F2_012/images/F2_012_image_0016.npy,F2/F2_013/images/F2_013_image_0016.npy,F2/F2_012/masks/F2_012_masks_0016.npy
F2/F2_011/images/F2_011_image_0017.npy,F2/F2_012/images/F2_012_image_0017.npy,F2/F2_013/images/F2_013_image_0017.npy,F2/F2_012/masks/F2_012_masks_0017.npy
F2/F2_011/images/F2_011_image_0018.npy,F2/F2_012/images/F2_012_image_0018.npy,F2/F2_013/images/F2_013_image_0018.npy,F2/F2_012/masks/F2_012_masks_0018.npy
F2/F2_011/images/F2_011_image_0019.npy,F2/F2_012/images/F2_012_image_0019.npy,F2/F2_013/images/F2_013_image_0019.npy,F2/F2_012/masks/F2_012_masks_0019.npy
F2/F2_011/images/F2_011_image_0020.npy,F2/F2_012/images/F2_012_image_0020.npy,F2/F2_013/images/F2_013_image_0020.npy,F2/F2_012/masks/F2_012_masks_0020.npy
F2/F2_011/images/F2_011_image_0021.npy,F2/F2_012/images/F2_012_image_0021.npy,F2/F2_013/images/F2_013_image_0021.npy,F2/F2_012/masks/F2_012_masks_0021.npy
F2/F2_011/images/F2_011_image_0022.npy,F2/F2_012/images/F2_012_image_0022.npy,F2/F2_013/images/F2_013_image_0022.npy,F2/F2_012/masks/F2_012_masks_0022.npy
F2/F2_011/images/F2_011_image_0023.npy,F2/F2_012/images/F2_012_image_0023.npy,F2/F2_013/images/F2_013_image_0023.npy,F2/F2_012/masks/F2_012_masks_0023.npy
F2/F2_011/images/F2_011_image_0024.npy,F2/F2_012/images/F2_012_image_0024.npy,F2/F2_013/images/F2_013_image_0024.npy,F2/F2_012/masks/F2_012_masks_0024.npy
F2/F2_011/images/F2_011_image_0025.npy,F2/F2_012/images/F2_012_image_0025.npy,F2/F2_013/images/F2_013_image_0025.npy,F2/F2_012/masks/F2_012_masks_0025.npy
F2/F2_011/images/F2_011_image_0026.npy,F2/F2_012/images/F2_012_image_0026.npy,F2/F2_013/images/F2_013_image_0026.npy,F2/F2_012/masks/F2_012_masks_0026.npy
F2/F2_011/images/F2_011_image_0027.npy,F2/F2_012/images/F2_012_image_0027.npy,F2/F2_013/images/F2_013_image_0027.npy,F2/F2_012/masks/F2_012_masks_0027.npy
F2/F2_012/images/F2_012_image_0001.npy,F2/F2_013/images/F2_013_image_0001.npy,F2/F2_014/images/F2_014_image_0001.npy,F2/F2_013/masks/F2_013_masks_0001.npy
F2/F2_012/images/F2_012_image_0002.npy,F2/F2_013/images/F2_013_image_0002.npy,F2/F2_014/images/F2_014_image_0002.npy,F2/F2_013/masks/F2_013_masks_0002.npy
F2/F2_012/images/F2_012_image_0003.npy,F2/F2_013/images/F2_013_image_0003.npy,F2/F2_014/images/F2_014_image_0003.npy,F2/F2_013/masks/F2_013_masks_0003.npy
F2/F2_012/images/F2_012_image_0004.npy,F2/F2_013/images/F2_013_image_0004.npy,F2/F2_014/images/F2_014_image_0004.npy,F2/F2_013/masks/F2_013_masks_0004.npy
F2/F2_012/images/F2_012_image_0005.npy,F2/F2_013/images/F2_013_image_0005.npy,F2/F2_014/images/F2_014_image_0005.npy,F2/F2_013/masks/F2_013_masks_0005.npy
F2/F2_012/images/F2_012_image_0006.npy,F2/F2_013/images/F2_013_image_0006.npy,F2/F2_014/images/F2_014_image_0006.npy,F2/F2_013/masks/F2_013_masks_0006.npy
F2/F2_012/images/F2_012_image_0007.npy,F2/F2_013/images/F2_013_image_0007.npy,F2/F2_014/images/F2_014_image_0007.npy,F2/F2_013/masks/F2_013_masks_0007.npy
F2/F2_012/images/F2_012_image_0008.npy,F2/F2_013/images/F2_013_image_0008.npy,F2/F2_014/images/F2_014_image_0008.npy,F2/F2_013/masks/F2_013_masks_0008.npy
F2/F2_012/images/F2_012_image_0009.npy,F2/F2_013/images/F2_013_image_0009.npy,F2/F2_014/images/F2_014_image_0009.npy,F2/F2_013/masks/F2_013_masks_0009.npy
F2/F2_012/images/F2_012_image_0010.npy,F2/F2_013/images/F2_013_image_0010.npy,F2/F2_014/images/F2_014_image_0010.npy,F2/F2_013/masks/F2_013_masks_0010.npy
F2/F2_012/images/F2_012_image_0011.npy,F2/F2_013/images/F2_013_image_0011.npy,F2/F2_014/images/F2_014_image_0011.npy,F2/F2_013/masks/F2_013_masks_0011.npy
F2/F2_012/images/F2_012_image_0012.npy,F2/F2_013/images/F2_013_image_0012.npy,F2/F2_014/images/F2_014_image_0012.npy,F2/F2_013/masks/F2_013_masks_0012.npy
F2/F2_012/images/F2_012_image_0013.npy,F2/F2_013/images/F2_013_image_0013.npy,F2/F2_014/images/F2_014_image_0013.npy,F2/F2_013/masks/F2_013_masks_0013.npy
F2/F2_012/images/F2_012_image_0014.npy,F2/F2_013/images/F2_013_image_0014.npy,F2/F2_014/images/F2_014_image_0014.npy,F2/F2_013/masks/F2_013_masks_0014.npy
F2/F2_012/images/F2_012_image_0015.npy,F2/F2_013/images/F2_013_image_0015.npy,F2/F2_014/images/F2_014_image_0015.npy,F2/F2_013/masks/F2_013_masks_0015.npy
F2/F2_012/images/F2_012_image_0016.npy,F2/F2_013/images/F2_013_image_0016.npy,F2/F2_014/images/F2_014_image_0016.npy,F2/F2_013/masks/F2_013_masks_0016.npy
F2/F2_012/images/F2_012_image_0017.npy,F2/F2_013/images/F2_013_image_0017.npy,F2/F2_014/images/F2_014_image_0017.npy,F2/F2_013/masks/F2_013_masks_0017.npy
F2/F2_012/images/F2_012_image_0018.npy,F2/F2_013/images/F2_013_image_0018.npy,F2/F2_014/images/F2_014_image_0018.npy,F2/F2_013/masks/F2_013_masks_0018.npy
F2/F2_012/images/F2_012_image_0019.npy,F2/F2_013/images/F2_013_image_0019.npy,F2/F2_014/images/F2_014_image_0019.npy,F2/F2_013/masks/F2_013_masks_0019.npy
